Environmental factor,k,Regression coefficient,Q statistic,p(Q) > 0,BF
Land_cover_forests_RABV_CA_04 (C),10,0.095 [0.051 - 0.132],-0.054 [-0.096 - -0.024],0,-
Land_cover_forests_RABV_CA_04 (C),100,0.051 [0.018 - 0.091],-0.098 [-0.142 - -0.052],0,-
Land_cover_forests_RABV_CA_04 (C),1000,0.027 [0.004 - 0.064],-0.122 [-0.164 - -0.072],0,-
Land_cover_forests_RABV_CA_04 (R),10,0.118 [0.066 - 0.261],-0.031 [-0.083 - 0.108],0.17,-
Land_cover_forests_RABV_CA_04 (R),100,0.029 [0.012 - 0.206],-0.118 [-0.161 - 0.058],0.06,-
Land_cover_forests_RABV_CA_04 (R),1000,0.017 [0.001 - 0.192],-0.131 [-0.174 - 0.041],0.05,-
Land_cover_savannas_RABV_CA_04 (C),10,0.122 [0.074 - 0.167],-0.025 [-0.065 - -0.008],0.01,-
Land_cover_savannas_RABV_CA_04 (C),100,0.071 [0.03 - 0.113],-0.078 [-0.126 - -0.043],0,-
Land_cover_savannas_RABV_CA_04 (C),1000,0.035 [0.007 - 0.072],-0.113 [-0.156 - -0.069],0,-
Land_cover_savannas_RABV_CA_04 (R),10,0.107 [0.069 - 0.187],-0.043 [-0.066 - 0.038],0.06,-
Land_cover_savannas_RABV_CA_04 (R),100,0.009 [0.004 - 0.106],-0.138 [-0.179 - -0.034],0.01,-
Land_cover_savannas_RABV_CA_04 (R),1000,0 [0 - 0.076],-0.147 [-0.188 - -0.06],0.01,-
Land_cover_grasslands_RABV_CA_04 (C),10,0.14 [0.093 - 0.184],-0.008 [-0.032 - 0.003],0.08,-
Land_cover_grasslands_RABV_CA_04 (C),100,0.108 [0.063 - 0.153],-0.04 [-0.077 - -0.012],0,-
Land_cover_grasslands_RABV_CA_04 (C),1000,0.076 [0.037 - 0.118],-0.072 [-0.115 - -0.034],0,-
Land_cover_grasslands_RABV_CA_04 (R),10,0.131 [0.076 - 0.189],-0.016 [-0.069 - 0.027],0.1,-
Land_cover_grasslands_RABV_CA_04 (R),100,0.026 [0.002 - 0.106],-0.121 [-0.175 - -0.039],0.01,-
Land_cover_grasslands_RABV_CA_04 (R),1000,0.001 [0 - 0.058],-0.146 [-0.189 - -0.074],0.01,-
Land_cover_croplands_RABV_CA_04 (C),10,0.131 [0.073 - 0.288],-0.018 [-0.069 - 0.136],0.27,-
Land_cover_croplands_RABV_CA_04 (C),100,0.098 [0.013 - 0.35],-0.05 [-0.149 - 0.192],0.13,-
Land_cover_croplands_RABV_CA_04 (C),1000,0.088 [0.002 - 0.331],-0.061 [-0.163 - 0.182],0.11,-
Land_cover_croplands_RABV_CA_04 (R),10,0.091 [0.052 - 0.134],-0.057 [-0.1 - -0.022],0,-
Land_cover_croplands_RABV_CA_04 (R),100,0.078 [0.04 - 0.121],-0.07 [-0.117 - -0.029],0,-
Land_cover_croplands_RABV_CA_04 (R),1000,0.076 [0.038 - 0.119],-0.072 [-0.121 - -0.031],0,-
Land_cover_water_RABV_CA_04 (C),10,0.096 [0.055 - 0.145],-0.051 [-0.093 - -0.014],0,-
Land_cover_water_RABV_CA_04 (C),100,0.043 [0.015 - 0.088],-0.106 [-0.149 - -0.054],0,-
Land_cover_water_RABV_CA_04 (C),1000,0.028 [0.006 - 0.067],-0.122 [-0.165 - -0.067],0,-
Land_cover_water_RABV_CA_04 (R),10,0.044 [0.015 - 0.104],-0.103 [-0.151 - -0.042],0,-
Land_cover_water_RABV_CA_04 (R),100,0.002 [0 - 0.032],-0.144 [-0.186 - -0.093],0,-
Land_cover_water_RABV_CA_04 (R),1000,0.002 [0 - 0.023],-0.146 [-0.186 - -0.095],0,-
Human_pop_density_RABV_CA_04 (C),10,0.152 [0.104 - 0.195],0.003 [-0.01 - 0.011],0.74,-
Human_pop_density_RABV_CA_04 (C),100,0.153 [0.101 - 0.205],0.004 [-0.027 - 0.029],0.61,-
Human_pop_density_RABV_CA_04 (C),1000,0.137 [0.087 - 0.231],-0.013 [-0.056 - 0.074],0.3,-
Human_pop_density_RABV_CA_04 (R),10,0.144 [0.096 - 0.188],-0.006 [-0.017 - 0.013],0.17,-
Human_pop_density_RABV_CA_04 (R),100,0.054 [0.024 - 0.099],-0.095 [-0.135 - -0.052],0,-
Human_pop_density_RABV_CA_04 (R),1000,0.011 [0.003 - 0.043],-0.137 [-0.177 - -0.086],0,-
Elevation_RABV_CA_04 (C),10,0.137 [0.09 - 0.178],-0.012 [-0.036 - 0.001],0.03,-
Elevation_RABV_CA_04 (C),100,0.087 [0.044 - 0.136],-0.061 [-0.107 - -0.024],0,-
Elevation_RABV_CA_04 (C),1000,0.046 [0.018 - 0.101],-0.101 [-0.148 - -0.051],0,-
Elevation_RABV_CA_04 (R),10,0.15 [0.098 - 0.207],-0.001 [-0.017 - 0.042],0.46,-
Elevation_RABV_CA_04 (R),100,0.086 [0.047 - 0.201],-0.062 [-0.109 - 0.06],0.06,-
Elevation_RABV_CA_04 (R),1000,0.046 [0.022 - 0.177],-0.101 [-0.147 - 0.042],0.04,-
Annual_mean_temperature_RABV_CA_04 (C),10,0.153 [0.102 - 0.196],0.002 [-0.001 - 0.014],0.96,3.6
Annual_mean_temperature_RABV_CA_04 (C),100,0.153 [0.102 - 0.196],0.003 [0 - 0.014],0.96,3.7
Annual_mean_temperature_RABV_CA_04 (C),1000,0.153 [0.102 - 0.196],0.003 [0 - 0.014],0.96,3.7
Annual_mean_temperature_RABV_CA_04 (R),10,0.15 [0.101 - 0.191],-0.001 [-0.005 - 0.012],0.28,-
Annual_mean_temperature_RABV_CA_04 (R),100,0.15 [0.1 - 0.191],-0.001 [-0.005 - 0.011],0.25,-
Annual_mean_temperature_RABV_CA_04 (R),1000,0.15 [0.1 - 0.191],-0.001 [-0.005 - 0.011],0.25,-
Annual_precipitation_RABV_CA_04 (C),10,0.133 [0.089 - 0.177],-0.016 [-0.037 - 0.001],0.04,-
Annual_precipitation_RABV_CA_04 (C),100,0.127 [0.083 - 0.17],-0.022 [-0.046 - -0.002],0.02,-
Annual_precipitation_RABV_CA_04 (C),1000,0.126 [0.082 - 0.169],-0.023 [-0.047 - -0.002],0.01,-
Annual_precipitation_RABV_CA_04 (R),10,0.145 [0.095 - 0.187],-0.006 [-0.021 - 0.015],0.23,-
Annual_precipitation_RABV_CA_04 (R),100,0.139 [0.09 - 0.185],-0.012 [-0.031 - 0.014],0.14,-
Annual_precipitation_RABV_CA_04 (R),1000,0.138 [0.089 - 0.185],-0.012 [-0.032 - 0.013],0.13,-
